name,legal_name,org_number,city,revenue,employees,emails,phone,website,sni2,sni_codes,registration_date,company_age_years,share_capital,priority_score
Degerfors Long Products AB,Degerfors Long Products AB,559332-4907,Degerfors,1878856,91.0,[],,https://www.cognedegerfors.com/,24,"['24100 Framställning av järn och stål samt ferrolegeringar', '24310 Tillverkning av kalldragen stålstång', '38320 Återvinning av källsorterat material']",2021-08-30,4.0,25.0,0.133
Cambrex Karlskoga Aktiebolag,Cambrex Karlskoga Aktiebolag,556013-6235,Karlskoga,1690086,471.0,[],0586-78 30 00,https://www.oru.se/samverkan/samverka-med-studenter/campusmassan/for-studenter/utstallare-2023/cambrex-karlskoga-ab/,20,"['20140 Tillverkning av andra organiska baskemikalier', '21100 Tillverkning av farmaceutiska basprodukter', '20160 Basplastframställning']",1916-09-08,109.0,1050.0,0.262
Kopparbergs Bryggeri Aktiebolag,Kopparbergs Bryggeri Aktiebolag,556479-8493,Kopparberg,1665642,199.0,[],0580-886 00,https://www.kopparbergs.se/,11,"['11030 Framställning av cider och andra fruktviner', '11050 Framställning av öl', '11070 Framställning av läskedrycker, mineralvatten och annat vatten på flaska', '11010 Destillering, rening och tillblandning av spritdrycker']",1993-12-27,31.7,5152.0,0.266
ASPA PULP AB,ASPA PULP AB,556064-6498,Aspabruk,1499444,187.0,[],0583-816 00,https://www.swedentimber.se/wp-content/uploads/pressrelease.pdf,17,"['17112 Sulfatmassatillverkning', '20140 Tillverkning av andra organiska baskemikalier', '38110 Insamling av icke-farligt avfall']",1957-04-09,68.4,15000.0,0.272
EURENCO Bofors Aktiebolag,EURENCO Bofors Aktiebolag,556267-9372,Karlskoga,1301003,386.0,[],0586-830 50,http://www.eurenco.com,20,"['20510 Sprängämnestillverkning', '21100 Tillverkning av farmaceutiska basprodukter', '20140 Tillverkning av andra organiska baskemikalier']",1985-11-18,39.8,25000.0,0.278
Suzuki Garphyttan AB,Suzuki Garphyttan AB,556030-2886,Garphyttan,1144140,329.0,[],,https://www.cordial.se/kundcase-suzuki-garphyttan,24,['24340 Tillverkning av kalldragen ståltråd'],1931-08-14,94.1,15000.0,0.158
KION Financial Services Sweden AB,KION Financial Services Sweden AB,559128-5142,Örebro,1075100,7.0,[],,https://www.linde-mh.se/se/Om-Linde/Baettre-upp/Moet-Jacob-Sjoestrand-Linde-Material-Handlings-nya-Sverigechef.html,64,['64910 Finansiell leasing'],2017-10-10,7.9,5000.0,0.107
Bharat Forge Kilsta AB,Bharat Forge Kilsta AB,556061-2565,Karlskoga,1060527,0.0,[],,https://se.bfkilsta.com/,25,"['25500 Smidning, pressning, prägling och valsning av metall; pulvermetallurgi', '38320 Återvinning av källsorterat material']",1955-04-27,70.4,20000.0,0.128
FFV Ordnance Aktiebolag,FFV Ordnance Aktiebolag,556414-8194,Karlskoga,950509,0.0,[],,https://www.nwt.se/2025/06/30/bland-de-storsta-i-sverige-karlskogaforetaget-ffv-ordnance-aktiebolag-7c372/,46,"['46141 Provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer']",1990-12-28,34.7,10000.0,0.127
Orica Sweden AB,Orica Sweden AB,556012-5246,Nora,891145,292.0,[],0587-850 00,https://www.oricaminingservices.com/se/sv,20,"['20510 Sprängämnestillverkning', '46750 Partihandel med kemiska produkter']",1915-04-07,110.4,60000.0,0.28
Möller Sportbilar AB,Möller Sportbilar AB,556384-6590,Örebro,831396,37.0,[],019-777 09 11,https://mollersportbilar.se/,45,"['45110 Handel med personbilar och lätta motorfordon', '45201 Allmän service och reparation av motorfordon utom motorcyklar', '73119 Övrig reklamverksamhet']",1990-02-07,35.6,100.0,0.273
Chroma Livs AB,Chroma Livs AB,556589-5934,Örebro,830170,128.0,[],019-673 22 00,https://orebrofakturor.jon.se/suppliers/05c047d9-48d2-46f9-b7aa-666ef406a0ee/2022?page=4,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad', '10710 Tillverkning av mjukt matbröd och färska bakverk']",2000-04-11,25.4,100.0,0.281
Mondi Örebro AB,Mondi Örebro AB,556039-3828,Örebro,808267,132.0,[],019-35 45 00,https://www.mondijobs.se/vara-platser/mondi-oerebro/,17,"['17129 Övrig tillverkning av papper och papp', '13950 Tillverkning av bondad duk', '17123 Tillverkning av kraftpapper och kraftpapp']",1940-05-29,85.3,20000.0,0.296
Ahlstrom Ställdalen AB,Ahlstrom Ställdalen AB,556396-8998,Ställdalen,758657,128.0,[],0580-291 00,https://www.naturvardsverket.se/4936ec/contentassets/45c088b2988549d6b2506cd05c0b7b2c/2023-02-24-mpd-orebro.pdf,17,"['17129 Övrig tillverkning av papper och papp', '17220 Tillverkning av hushålls- och hygienartiklar av papper', '13950 Tillverkning av bondad duk', '17122 Tryckpapperstillverkning, ej tidnings- och journalpapper', '35110 Generering av elektricitet']",1990-05-23,35.3,29711.0,0.271
Billerud Rockhammar AB,Billerud Rockhammar AB,556761-2436,Frövi,640164,47.0,[],0581-370 00,https://www.billerud.se/om-billerud/vara-produktionsanlaggningar/frovirockhammar,17,['17111 Tillverkning av mekanisk eller halvkemisk massa'],2008-07-02,17.2,100.0,0.222
Pac-Production Sweden Aktiebolag,Pac-Production Sweden Aktiebolag,556300-8712,Örebro,605102,72.0,[],019-17 57 00,https://www.pac.se/,46,['46499 Partihandel med övriga hushållsvaror'],1987-07-08,38.2,900.0,0.272
Kronhallen Butik AB,Kronhallen Butik AB,556782-6366,Karlskoga,589469,122.0,[],0586-676 70,http://www.kronhallen.se/,47,"['47112 Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad', '10112 Styckning av kött', '10710 Tillverkning av mjukt matbröd och färska bakverk', '10850 Tillverkning av lagad mat och färdigrätter']",2009-05-14,16.3,100.0,0.242
Emba Machinery Aktiebolag,Emba Machinery Aktiebolag,556046-0106,Örebro,574428,169.0,[],,https://berggroup.se/about/,28,"['28950 Tillverkning av maskiner för produktion av massa, papper och papp']",1945-10-15,79.9,5000.0,0.166
Dynasafe Demil Systems AB,Dynasafe Demil Systems AB,559035-6050,Karlskoga,548354,18.0,[],0586-77 12 70,https://www.sdfsweden.se/docs/Pressrelease%202015-01-26.pdf,42,['42990 Övriga anläggningsarbeten'],2015-11-17,9.8,50.0,0.187
Stormarknaden på Tybble AB,Stormarknaden på Tybble AB,556928-5561,Örebro,532459,80.0,[],,https://www.ica.se/butiker/maxi/orebro/maxi-ica-stormarknad-universitetet-1003736/,47,"['47111 Varuhus- och stormarknadshandel, mest livsmedel, drycker och tobak', '10710 Tillverkning av mjukt matbröd och färska bakverk']",2013-04-11,12.4,100.0,0.13
